timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1672123077055,553,Authorisation User,200,OK,Thread Group 1-6,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,553,0,0
1672123073521,4395,Get an other user,404,Not Found,Thread Group 1-16,text,false,,943,1322,20,20,http://test-api.d6.dev.devcaz.com/v2/players/0,4395,0,0
1672123074103,3813,Get user,200,OK,Thread Group 1-13,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48979,3813,0,0
1672123071765,6151,Get an other user,404,Not Found,Thread Group 1-12,text,false,,943,1322,20,20,http://test-api.d6.dev.devcaz.com/v2/players/0,6151,0,0
1672123074213,3864,Get user,200,OK,Thread Group 1-2,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48980,3864,0,0
1672123075138,3232,Get user,200,OK,Thread Group 1-7,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48972,3232,0,0
1672123074751,3656,New user,201,Created,Thread Group 1-9,text,true,,1132,1252,20,20,http://test-api.d6.dev.devcaz.com/v2/players,3656,0,0
1672123077918,534,Authorisation User,200,OK,Thread Group 1-16,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,534,0,0
1672123077919,550,Authorisation User,200,OK,Thread Group 1-13,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,550,0,0
1672123077919,591,Authorisation User,200,OK,Thread Group 1-12,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,591,0,0
1672123074968,3611,Get user,200,OK,Thread Group 1-15,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48969,3611,0,0
1672123078078,638,Authorisation User,200,OK,Thread Group 1-2,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,638,0,0
1672123078371,548,Authorisation User,200,OK,Thread Group 1-7,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,548,0,0
1672123075135,3811,Get user,200,OK,Thread Group 1-5,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48973,3811,0,0
1672123075103,3843,Get an other user,404,Not Found,Thread Group 1-8,text,false,,943,1322,20,20,http://test-api.d6.dev.devcaz.com/v2/players/0,3843,0,0
1672123078408,579,Authorisation User,200,OK,Thread Group 1-9,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,579,0,0
1672123074972,4045,Get user,200,OK,Thread Group 1-14,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48970,4045,0,0
1672123078581,482,Authorisation User,200,OK,Thread Group 1-15,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,482,0,0
1672123078947,236,Get Token,200,OK,Thread Group 1-8,text,true,,1076,578,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,236,0,0
1672123075514,3951,Get user,200,OK,Thread Group 1-17,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48975,3951,0,0
1672123076179,3313,Get user,200,OK,Thread Group 1-1,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48972,3313,0,0
1672123078947,563,Authorisation User,200,OK,Thread Group 1-5,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,563,0,0
1672123079018,577,Authorisation User,200,OK,Thread Group 1-14,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,577,0,0
1672123076181,3444,Get user,200,OK,Thread Group 1-11,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48976,3444,0,0
1672123079132,497,Authorisation User,200,OK,Thread Group 1-15,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,497,0,0
1672123075280,4384,Get an other user,404,Not Found,Thread Group 1-20,text,false,,943,1322,20,20,http://test-api.d6.dev.devcaz.com/v2/players/0,4384,0,0
1672123079465,579,Authorisation User,200,OK,Thread Group 1-17,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,579,0,0
1672123075249,5291,Get an other user,404,Not Found,Thread Group 1-4,text,false,,943,1322,20,20,http://test-api.d6.dev.devcaz.com/v2/players/0,5291,0,0
1672123079626,1114,Authorisation User,200,OK,Thread Group 1-11,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,1114,0,0
1672123079665,1307,Authorisation User,200,OK,Thread Group 1-20,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,1307,0,0
1672123080541,717,Authorisation User,200,OK,Thread Group 1-4,text,true,,2593,604,20,20,http://test-api.d6.dev.devcaz.com/v2/oauth2/token,717,0,0
1672123077360,3898,Get user,200,OK,Thread Group 1-3,text,true,,1091,1326,20,20,http://test-api.d6.dev.devcaz.com/v2/players/48979,3898,0,0
